subject,Unknown,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,Optic-Chiasm,Vermis
0mo_template_07.nii.gz,12.16552506059644,2.23606797749979,10.816653826391967,4.898979485566356,136.0,136.0,136.0,6.0827625302982185,136.0,3.6055512754639887,3.6055512754639887,2.8284271247461903,136.0,136.0,3.0,2.0,4.0,1.7320508075688772,2.23606797749979,2.0,1.4142135623730951,2.23606797749979,1.7320508075688772,136.0,136.0,5.385164807134505,5.744562646538029,2.449489742783178,136.0,136.0,3.0,3.6055512754639887,4.0,2.23606797749979,2.23606797749979,2.23606797749979,1.4142135623730951,2.23606797749979,2.449489742783178,136.0,136.0
0mo_template_12.nii.gz,38.80721582386451,1.7320508075688772,3.0,6.782329983125267,136.0,136.0,136.0,2.0,136.0,5.0,5.385164807134505,6.4807406984078595,136.0,136.0,28.30194339616981,2.23606797749979,1.4142135623730951,2.0,1.4142135623730951,2.449489742783178,2.0,2.23606797749979,2.23606797749979,136.0,136.0,4.123105625617661,39.06404996924922,2.449489742783178,136.0,136.0,6.782329983125267,2.8284271247461903,1.7320508075688772,2.23606797749979,2.23606797749979,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.23606797749979,136.0,136.0
1mo_sub-439083.nii.gz,12.569805089976535,1.0,1.7320508075688772,1.7320508075688772,133.0,133.0,133.0,5.0,133.0,24.062418831031927,5.0990195135927845,4.242640687119285,133.0,133.0,4.123105625617661,3.0,2.23606797749979,3.1622776601683795,1.7320508075688772,3.0,1.4142135623730951,1.7320508075688772,2.23606797749979,133.0,133.0,5.385164807134505,11.6619037896906,13.379088160259652,133.0,133.0,2.449489742783178,3.0,3.4641016151377544,2.8284271247461903,2.449489742783178,2.8284271247461903,1.4142135623730951,2.23606797749979,1.7320508075688772,133.0,133.0
3mo_sub-116845.nii.gz,11.04536101718726,2.23606797749979,2.449489742783178,4.0,145.0,145.0,145.0,3.0,145.0,3.741657386773941,4.58257569495584,4.123105625617661,145.0,145.0,13.564659966250534,1.4142135623730951,2.449489742783178,2.8284271247461903,2.23606797749979,1.4142135623730951,1.4142135623730951,2.0,2.0,145.0,145.0,8.54400374531753,4.898979485566356,4.242640687119285,145.0,145.0,10.77032961426901,2.23606797749979,2.23606797749979,2.23606797749979,2.449489742783178,2.0,1.4142135623730951,1.0,1.7320508075688772,145.0,145.0
4mo_sub-439083.nii.gz,18.16590212458495,3.0,3.6055512754639887,6.0,141.0,141.0,141.0,141.0,141.0,23.769728648009423,29.698484809834994,27.331300737432894,141.0,141.0,10.63014581273465,6.92820323027551,12.529964086141668,5.196152422706632,4.123105625617661,5.830951894845301,5.0,5.0990195135927845,13.038404810405297,141.0,141.0,5.196152422706632,7.071067811865476,18.275666882497067,141.0,141.0,10.677078252031311,6.708203932499369,11.575836902790224,5.0,7.280109889280517,10.198039027185569,4.69041575982343,6.164414002968977,11.180339887498945,141.0,141.0
5mo_sub-295081.nii.gz,76.19055059520177,1.4142135623730951,5.0,4.358898943540674,1.7320508075688772,172.0,1.4142135623730951,172.0,172.0,106.7941945987702,8.48528137423857,5.830951894845301,43.301270189221924,7.280109889280517,5.0,4.123105625617661,2.23606797749979,3.0,5.196152422706632,1.7320508075688772,2.23606797749979,3.6055512754639887,2.23606797749979,172.0,6.164414002968977,7.071067811865476,76.43951857514541,5.0990195135927845,10.488088481701515,5.385164807134505,5.0990195135927845,2.0,2.23606797749979,2.8284271247461903,2.23606797749979,4.123105625617661,1.7320508075688772,3.3166247903554,2.449489742783178,172.0,4.242640687119285
6mo_sub-277762.nii.gz,13.564659966250534,1.4142135623730951,5.0,3.6055512754639887,3.0,154.0,2.23606797749979,154.0,154.0,4.69041575982343,10.246950765959598,5.0990195135927845,51.254268114958,7.810249675906653,5.830951894845301,2.8284271247461903,2.23606797749979,3.741657386773941,5.0,3.1622776601683795,2.449489742783178,2.23606797749979,2.449489742783178,154.0,8.660254037844387,5.830951894845301,4.358898943540674,3.6055512754639887,154.0,6.708203932499369,6.0,3.0,2.449489742783178,5.0,3.6055512754639887,3.0,3.0,2.23606797749979,3.4641016151377544,154.0,9.433981132056603
7mo_updated_sub-657158.nii.gz,42.23742416388575,3.6055512754639887,9.219544457292887,4.58257569495584,2.449489742783178,162.0,1.0,162.0,162.0,44.8998886412873,38.5097390279394,15.264337522473747,52.09606511052443,7.6157731058639095,5.744562646538029,1.7320508075688772,3.4641016151377544,2.0,4.0,3.4641016151377544,4.0,3.741657386773941,1.4142135623730951,162.0,5.916079783099617,64.47480127925947,70.92249290598858,10.04987562112089,162.0,6.0827625302982185,5.0990195135927845,2.0,3.6055512754639887,2.449489742783178,4.123105625617661,5.744562646538029,3.1622776601683795,5.47722557505166,3.0,162.0,8.54400374531753
8mo_sub-372377.nii.gz,54.35071296680477,2.23606797749979,7.211102550927977,2.23606797749979,2.449489742783178,162.0,2.449489742783178,162.0,162.0,81.9023809177731,8.48528137423857,6.708203932499369,54.166410255803356,8.54400374531753,10.63014581273465,2.23606797749979,3.1622776601683795,3.4641016151377544,4.123105625617661,2.449489742783178,2.449489742783178,3.0,2.23606797749979,162.0,8.306623862918075,73.17103251970688,8.306623862918075,22.67156809750927,162.0,7.810249675906653,6.782329983125267,2.23606797749979,3.3166247903554,4.0,5.0,3.1622776601683795,3.0,5.830951894845301,3.0,162.0,4.47213595499958
0mo_template_09.nii.gz,13.0,2.0,2.23606797749979,2.23606797749979,133.0,133.0,133.0,2.8284271247461903,133.0,5.0990195135927845,5.385164807134505,2.23606797749979,133.0,133.0,3.0,2.0,2.23606797749979,3.0,2.0,5.916079783099617,1.7320508075688772,1.4142135623730951,1.7320508075688772,133.0,133.0,4.69041575982343,3.4641016151377544,6.4807406984078595,133.0,133.0,2.23606797749979,2.23606797749979,1.4142135623730951,2.23606797749979,2.23606797749979,3.741657386773941,2.23606797749979,1.4142135623730951,2.0,133.0,133.0
0mo_template_14.nii.gz,12.806248474865697,2.0,4.242640687119285,2.0,131.0,131.0,131.0,5.47722557505166,131.0,3.3166247903554,3.3166247903554,5.744562646538029,131.0,131.0,3.4641016151377544,2.0,1.7320508075688772,2.8284271247461903,1.4142135623730951,2.8284271247461903,1.7320508075688772,1.4142135623730951,2.0,131.0,131.0,4.47213595499958,3.741657386773941,5.744562646538029,131.0,131.0,2.449489742783178,2.0,2.23606797749979,1.4142135623730951,1.7320508075688772,2.449489742783178,1.4142135623730951,1.4142135623730951,2.0,131.0,131.0
2mo_sub-684448.nii.gz,8.54400374531753,2.0,1.4142135623730951,4.123105625617661,141.0,141.0,141.0,4.47213595499958,141.0,3.4641016151377544,26.944387170614963,3.3166247903554,141.0,141.0,16.031219541881402,25.806975801127876,2.23606797749979,2.8284271247461903,1.4142135623730951,2.23606797749979,2.0,3.0,2.449489742783178,141.0,141.0,6.0,3.741657386773941,2.8284271247461903,141.0,141.0,2.0,2.23606797749979,2.23606797749979,2.0,2.23606797749979,2.449489742783178,1.4142135623730951,3.0,2.23606797749979,141.0,141.0
