subject,Unknown,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,Optic-Chiasm,Vermis
0mo_template_07.nii.gz,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,136.0,136.0,136.0,3.0,136.0,1.0,1.0,1.0,136.0,136.0,1.7320508075688772,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,136.0,136.0,1.0,1.0,1.0,136.0,136.0,1.7320508075688772,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,1.906217782649105,1.4142135623730951,136.0,136.0
0mo_template_12.nii.gz,1.0,1.0,1.7320508075688772,1.4142135623730951,136.0,136.0,136.0,1.0,136.0,1.0,1.0,1.4142135623730951,136.0,136.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0828427124746145,1.0,136.0,136.0,1.0,1.0,1.0,136.0,136.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.2278174593051836,1.0,1.4142135623730951,136.0,136.0
1mo_sub-439083.nii.gz,1.4142135623730951,1.0,1.0,1.0,133.0,133.0,133.0,1.4142135623730951,133.0,1.0,1.0,1.0,133.0,133.0,1.0,1.0,1.4142135623730951,2.0,1.0,1.4142135623730951,1.0,1.0828427124746145,1.0,133.0,133.0,1.0,1.0,1.7320508075688772,133.0,133.0,1.0,1.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,133.0,133.0
3mo_sub-116845.nii.gz,1.0,1.0,1.0,1.0,145.0,145.0,145.0,1.0,145.0,1.0,1.0,1.0,145.0,145.0,8.06225774829855,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,145.0,145.0,1.0,1.0,1.0,145.0,145.0,1.0,1.0,1.52545659819159,1.4142135623730951,1.4142135623730951,1.0,1.0,1.0,1.0,145.0,145.0
4mo_sub-439083.nii.gz,1.7320508075688772,1.0,1.0,2.8284271247461903,141.0,141.0,141.0,141.0,141.0,2.0,1.4142135623730951,4.898979485566356,141.0,141.0,6.0827625302982185,4.012310562561755,3.0,3.4641016151377544,2.8284271247461903,2.96568542494923,2.449489742783178,4.6304951684996976,8.717797887081348,141.0,141.0,1.7320508075688772,1.4142135623730951,8.479347318793657,141.0,141.0,6.324555320336759,3.741657386773941,2.449489742783178,3.0,3.0081138830084115,4.375884495259494,2.23606797749979,5.196152422706632,7.422634278208621,141.0,141.0
5mo_sub-295081.nii.gz,1.0,1.0,1.0,1.0,1.0,172.0,1.0,172.0,172.0,1.0,1.0,1.0,40.396332533807,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,2.23606797749979,1.0,172.0,1.4142135623730951,1.0,1.0,1.0,10.064764416293244,2.23606797749979,1.4142135623730951,1.0,1.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.7320508075688772,1.0,172.0,1.4142135623730951
6mo_sub-277762.nii.gz,1.4142135623730951,1.0,1.0,1.0,1.0,154.0,1.0,154.0,154.0,1.0,1.0,1.0,48.533492769243004,2.0,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.0,154.0,1.7161589453091026,1.0,1.0,1.0,154.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.7320508075688772,2.0,1.0,2.0,1.4142135623730951,1.4142135623730951,154.0,1.4142135623730951
7mo_updated_sub-657158.nii.gz,1.4142135623730951,1.0,1.0,2.23606797749979,1.0,162.0,1.0,162.0,162.0,2.23606797749979,1.7320508075688772,1.4142135623730951,44.357595833797035,1.7320508075688772,1.4142135623730951,1.0,1.7320508075688772,1.0,1.4142135623730951,1.4142135623730951,2.0,2.4281475662548337,1.0,162.0,1.4142135623730951,2.0,1.7320508075688772,1.4142135623730951,162.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,1.7320508075688772,1.0,1.4142135623730951,2.23606797749979,1.0,162.0,1.4142135623730951
8mo_sub-372377.nii.gz,1.4142135623730951,1.0,1.0,1.0,1.0,162.0,1.4142135623730951,162.0,162.0,1.0,1.0,1.0,49.79221944834046,2.23606797749979,1.7320508075688772,1.0,1.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,162.0,1.4142135623730951,1.0,1.0,1.0,162.0,1.7320508075688772,1.4142135623730951,1.0,1.0,1.4142135623730951,2.23606797749979,1.0,2.0,4.47213595499958,1.0,162.0,1.4142135623730951
0mo_template_09.nii.gz,1.7320508075688772,1.0,1.0,1.0,133.0,133.0,133.0,1.7320508075688772,133.0,1.0,1.4142135623730951,1.0,133.0,133.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,133.0,133.0,1.0,1.0,1.0,133.0,133.0,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,133.0,133.0
